Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive sciences,Philosophy
Hong_Kong_HKU,,,4,9,4,0,1,0,,1,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,1,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
IISER_Pune,,,3,10,0,0,10,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
IIT_Delhi,,,3,13,0,0,0,0,,0,0,0,0,,8,3,0,1,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
IIT_Madras,,,4,7,0,0,0,0,,1,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
IONIS_Paris,,,1,12,8,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,,,0,0,0,,2,0,,,0,0,,0,,0,,0,0,,,0
ITB_INDONESIA,,,2,22,2,0,0,0,,12,1,2,0,,0,1,0,0,0,0,0,2,0,0,2,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Kent,,,1,11,0,0,5,0,,2,0,0,1,,0,0,0,0,2,0,0,0,0,0,0,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
LaVerne-Leos,,,3,6,0,0,0,0,,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Leicester,,,4,7,0,0,1,1,,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Lethbridge,,,1,14,0,0,4,0,,6,0,0,3,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Linkoping_Sweden,,,3,14,1,0,1,0,,4,0,0,4,,3,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
London_Biohackspace,,,3,4,1,0,0,0,,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
Manchester-Graz,,,1,12,5,0,2,0,,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Marburg,,"Best Food and Nutrition Project, Best Innovation in Measurement, Overgrad, Nom-Best Education and Public Engagement, Overgrad, Nom-Best Wiki, Overgrad, Nom-Best Poster, Overgrad, Nom-Best New Composite Part, Overgrad, Nom-Best Part Collection, Overgrad",1,10,0,0,1,0,,1,0,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,1,,0,0,,,0
METU_Turkey,,,4,18,0,0,0,0,,17,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Michigan,,,4,8,0,0,0,0,,4,0,0,1,,0,0,0,0,0,2,0,1,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Michigan_Software,,,3,8,0,0,0,0,,0.5,0,0,0.5,,0,0,0,0,0,0,0,1,5,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,1,,,0
Minnesota,,,4,5,0,0,0,0,,2.5,0,0,0.5,,0,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
MIT,,,3,9,0,1,0,0,,3,0,0,0,,2,0,0,0,0,0,0,0,3,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NAIT_Edmonton,,,2,5,0,0,0,0,,4,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NCTU_Formosa,,,1,13,8,0,0,0,,2,0,1,0,,0,0,0,0,0,0,0,2,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NEAU-China,,,3,11,2,0,0,0,,7,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NJAU_China,,,2,14,0,0,0,0,,11,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,1,,0,,0,0,,,0
NJU-China,,"Nom-Best Health and Medicine Project, Undergrad, Nom-Best Model, Undergrad, Nom-Best Presentation, Undergrad",1,14,0,0,0,0,,13,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Northeastern_boston,,,3,4,0,0,0,0,,2,0,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NRP-UEA-Norwich,,"Nom-Best Food and Nutrition Project, Nom-Best Education and Public Engagement, Undergrad",1,6,0,0,2,0,,2,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NTNU_Tronheim,,,1,5,2,0,1,0,,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NTU-LIHPAO-Taiwan,,,2,10,7,0,0,0,,0,0,0,0,,0,2,0,0,1,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NTU-Singapore,,,1,9,0.5,0,0,0,,3.5,0,0,1,,1,1,0,0,0,0,0,0,1,0,1,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NU_Kazakhstan,,,2,6,0,0,0,0,,5,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NYU-AD,,,3,8,0,0,0,0,,2,0,0,0,,0,0,0,2,0,0,0,0,3,0,1,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
NYU_Shanghai,,"Nom-Best Poster, Undergrad",2,8,0,0,2.5,0,,3,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,1.5,,,0,0,,0,,0,,0,0,,,0
OUC-China,,,2,11,3,0,0,0,,4,0,0,0,,2,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
Oxford,,"Nom-Best Health and Medicine Project, Undergrad, Nom-Best Model, Undergrad, Nom-Best Presentation, Undergrad, Nom-Best wiki Undergrad, Nom-Best Presentation, Undergrad, Nom-Best New Basic Part, Undergrad",1,11,0,0,0,0,,0,0,2,8,,0,0,0,0,,0,0,,0,0,0,0,,,0,1,,,,0,,,0,0,,0,,0,,0,0,,,0
Paris_Saclay,,,3,7,0,0,2,0,,1,0,1,2,,0,0,0,0,0,0,0,0.5,0,0,0,0,,,0,0.5,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Pasteur_Paris,,,3,10,0,0,1,0,,5,0,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Peking,,"Nom-Best Health and Medicine Project, Undergrad, Nom-Best Wiki, Undergrad, Best New composite part, Undergrad, Best Part collection, undergrad",1,13,0,0,5,0,,3,1,2,0,,0,0,0,0,0,0,0,0,0,0,1,0,,,0,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Penn,,,4,5,0,0,0,0,,0,0,0,0,,2.5,2.5,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Pitt,,,2,4.9,0,0,0,0,,1.3,0,0.3,0,,1,1,0,0,0,0,0,0,1,0,0.3,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Pretoria_UP,,,3,7,0,0,0,0,,6,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Queens_Canada,,,1,11,0,0,1,0,,8,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Reading,,,4,10,0,0,1.5,0,,4,0,0,3,,0,0,0,0,0,0,0,0,1,0.5,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
RHIT,,,3,4,0,0,0,0,,2,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Santa_Clara,,,2,9,0,0,0,0,,1.5,0,0,2,,1,0,0,0,0,0,1,0,0.5,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,3,,,0
Scut-Champion-Park,,,3,14,1,0,2,0,,1.5,0,0,1.5,,3,0,0,0,0,0,0,0,2,0,0,0,,,0,0,0,,3,0,,,0,0,,0,,0,,0,0,,,0
SDU-Denmark,,"Nom-Best Manufacturing Project, Overgrad",1,9,0,0,6,0,,0.5,0,0,0.5,,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,1
Sherbrooke,,,1,20,0,0,0,0,,3,0,0,0,,0,0,0,0,15,0,0,0,2,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
SJTU-Software,,,1,12,0,8,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,,,0,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
SPSingapore,,,2,9,0,2,2,0,,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Stanford-Brown,,"Best Manufacturing Project, Undergrad, Nom-Best Poster, Undergrad, Nom-Best New Composite Part, Undergrad, Nom-Best Part Collection, Undergrad",1,10,0,0,0,0,,3,0,0,0,,4,0,0,0,0,0,0,1,0,0,0,2,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Stockholm,,"Nom-Best Part Collection, Undergrad",1,18,5,0,7,0,,2,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,3,,0,,0,,0,0,,,0
Stony_Brook,,,2,12,0,0,0,0,,1,1,1,7,,0,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
SVA-NYC,,"Best Art and Design Project, Nom-Best Integrated Human Practices, Overgrad, Nom-Best Education and Public Engagement, Overgrad, Nom-Best Presentation, Overgrad",1,13,0,0,0,0,,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,12,,,0,0,,0,,0,,0,0,,,0
SVCE_Chennai,,,3,17,16,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Sydney_Australia,,"Nom-Best Model, Undergrad,Nom-Best Integrated Human Practices, Undergrad, Nom-Best Education and Public engagement, undergrad",1,7,0,0,1,0,,2,0,0,1.5,,0,0,0,0,0,0,0,0.5,0,0,1,,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
SYSU-Software,,Best software project,1,16,2,0,0,0,,7,0,0,0,,1,0,0,0,0,0,0,0,4,0,0,1,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TCU_Taiwan,,,2,14,1,4,0,0,,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,1,,0,0,,,0
Tec-Monterrey,,,2,24,15,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,4,0,1,0,,,1,0,0,,3,0,,,0,0,,0,,0,,0,0,,,0
Tec_Guadalajara,,,3,12,11,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TecCEM,,,2,14,11,0,0,0,,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Technion_Israel,,"Best New Application Project, Overgrad, Nom-Best Applied Design, Overgrad, Nom-Best Presentation, Overgrad, Nom-Best New Basic Part, Overgrad",1,11,6,0,0,0,,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TJU,,Best Energy Project,1,13,1,0,0,0,,0,0,0,0,,4,6,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,1,,,0,0,,0,,0,,0,0,,,0
Tokyo_Tech,,"Nom-Best Information Processing Project, Undergrad, Nom-Best Part Collection, Undergrad",1,17,13,0,0,0,,0,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,,,2,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Toronto,,"Nom-Best Applied Design, Undergrad",2,22,0,7,2,0,,6,2,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,,,2,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TrinityCollegeDublin,,,1,8,0,0,0,0,,5,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TU_Darmstadt,,"Nom-Best Applied Design, Overgrad, Nom-Best Poster, Overgrad, Nom-Best Part Collection, Overgrad",1,41,0,0,0,0,,18,0,1,0,,14,0,0,2,0,0,0,0,3,0,0,0,,,1,2,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TU_Delft,,"Finalist, Overgrad, Grand Prize Winner, overgrad, Nom-Best Model, High school, Best Hardware project, Nom-Best Model, Overgrad, Best Applied Design, Overgrad, Nom-Best Integrated Human Practices, Overgrad, Best Wiki, Overgrad, Nom-Best New composite Part, Overgrad, Nom-Best Part collection, Overgrad",1,9,1,0,0,0,,5,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TU_Dresden,,,3,12,1,0,1,0,,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
TU_Eindhoven,,"Nom-Best New Application Project, Undergrad, Best innovation in measurement, undergrad, nom-Best Education and public engagement, undergrad",1,13,3,0,0,0,,0,0,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Tufts,,,3,17.5,3.5,0,0,0,,0,0,1,4,,1,0,0,0,0,4,0,0,1,2,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UAM_Poznan,,,2,10,6,0,0,0,,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UC_davis,,"Nom-Best Environment Project, Overgrad",1,6,0,0,0,0,,1,0,0,0,,0,0,0,1,1,0,0,0,2,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UC_San_Diego,,,4,6,1,0,0,0,,0,0,0,1,,3,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Uchicago,,,2,6,0,0,0,0,,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
Uchile-OpenBio,,,4,10,0,0,0,0,,0,0,0,0,,5,3,0,0,0,0,2,0,0,0,0,0,,,0,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UCL,,"Best Supporting Entrepreneurship, Overgrad, Nom-Best New Composite Part, Overgrad",1,10,3,0,0,0,,3,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UCLA,,"Nom-Best Manufacturing Project, Overgrad, Nom-Best New Basic Part, Undergrad, Nom-Best Part collection Undergrad",1,16,0,0,0,0,,6,0,0,5,,3,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UESTC_Software,,Nom-Best Software Project,1,12,3,0,0,0,,0,0,0,0,,0,0,0,0,1,5,0,0,2,0,0,0,,,1,0,0,,0,0,,,0,0,,0,,0,,0,0,,,0
UFMG_Brazil,,"Nom-Best Integrated Human Practices, Overgrad, Best Education and Public engagement, overgrad",4,13,0,1,2,0,,4,0,0,0,,0,0,0,0,1,0,0,1,2,0,0,0,,,1,0,0,,1,0,,,0,0,,0,,0,,0,0,,,0
